id;date;hashtags;user_verified;is_retweet;Is_old_User;user_important
141;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
142;2021-02-10;['BTC', 'Bitcoin'];0;0;1;0
143;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
144;2021-02-10;['DogecoinToTheMoon', 'DogeArmy', 'dogecoin', 'Btc', 'Bitcoin'];0;0;0;0
145;2021-02-10;['bitcoin', 'eth', 'btc'];0;0;1;0
146;2021-02-10;['IOTA'];0;0;1;0
147;2021-02-10;['bitcoin', 'btc'];0;0;1;0
148;2021-02-10;['Credits'];0;0;1;0
149;2021-02-10;['BTC', 'BITCOIN', 'Bitcoin'];0;0;1;0
150;2021-02-10;['bitcoin', 'btc', 'BTCUSD'];0;0;1;0
151;2021-02-10;['bitcoin', 'cryptocurrency', 'BTC'];0;0;0;0
152;2021-02-10;['BTC', 'Bitcoin', 'ATH', 'AllTimeHigh', 'AllTimeHigh'];0;0;1;0
153;2021-02-10;['blockstack', 'Bitcoin', 'BTC'];0;0;1;0
154;2021-02-10;['Bitcoin'];0;0;1;0
155;2021-02-10;['Bitcoin', 'stock', 'crypto', 'JPMorgan', 'BTC'];0;0;1;0
156;2021-02-10;['btc', 'bitcoin'];0;0;0;0
157;2021-02-10;['BTC', 'bitcoin'];0;0;1;0
158;2021-02-10;['bitcoin', 'btc', 'BTCUSD'];0;0;1;0
159;2021-02-10;['bitcoin', 'btc', 'BTCUSD'];0;0;1;0
160;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
161;2021-02-10;['Bitcoin'];0;0;1;0
162;2021-02-10;['tesla', 'elon', 'elonmusk', 'bitcoin', 'btc'];0;0;1;0
163;2021-02-10;['crypto', 'Bitcoin'];0;0;1;0
164;2021-02-10;['Bitcoin', 'BTC', 'cryptocurrency'];0;0;1;0
165;2021-02-10;['btc', 'bitcoin'];0;0;1;1
166;2021-02-10;['BTC', 'Bitcoin'];0;0;1;1
167;2021-02-10;['bitcoin', 'btc', 'trading'];0;0;0;0
168;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
169;2021-02-10;['btc', 'bitcoin'];0;0;1;0
170;2021-02-10;['Bitcoin', 'ARK', 'BTC'];0;0;1;0
171;2021-02-10;['mda', 'cryptocurrency', 'Crypto', 'cryptotrading', 'BTC', 'Bitcoin'];0;0;1;0
172;2021-02-10;['Tether', 'AVAX', 'CELO', 'AMP', 'ICX', 'GRT', 'BNB', 'btc', 'bitcoin', 'usdt'];0;0;1;0
173;2021-02-10;['Bitcoin', 'btc', 'bitcoinnews'];0;0;1;0
174;2021-02-10;['wavesplatform'];0;0;0;0
175;2021-02-10;['BTC', 'Bitcoin'];0;0;1;0
176;2021-02-10;['Bitcoin', 'BTC'];0;0;1;1
177;2021-02-10;['MATICBTC', 'MATIC', 'MATICBTC', 'MATICUSDT'];0;0;0;0
178;2021-02-10;['Bitcoin', 'Ether', 'BitcoinCash', 'EOS', 'Stellar'];1;0;1;0
179;2021-02-10;['btc', 'bitcoin'];0;0;1;0
180;2021-02-10;['btc', 'bitcoin'];0;0;1;0
181;2021-02-10;['btc', 'bitcoin'];0;0;1;0
182;2021-02-10;['btc', 'bitcoin'];0;0;1;0
183;2021-02-10;['aave', 'aave750usd', 'aave1000usd', 'bnb', 'Bitcoin', 'ETH', 'Ethereum', 'XRP', 'Doge', 'btc'];0;0;1;0
184;2021-02-10;['Swissborg', 'Crypto'];0;0;0;0
185;2021-02-10;['spread', 'crypto', 'Binance', 'krakenfx'];0;0;0;0
186;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
187;2021-02-10;['AmazonCoin', 'amazon', 'pay', 'finance', 'tokensale'];0;0;1;0
188;2021-02-10;['Bitcoin', 'crypto', 'BTC'];0;0;1;0
189;2021-02-10;['Deal', 'Bitcoin', 'BTC'];0;0;1;0
190;2021-02-10;['btc', 'bitcoin', 'cryptocurrency'];0;0;1;0
191;2021-02-10;['Bitcoin', 'elonBTC', 'AppleBTC', 'btc'];0;0;1;0
192;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
193;2021-02-10;['blockstack', 'Bitcoin', 'BTC'];0;0;1;0
194;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
195;2021-02-10;['bitcoin'];0;0;1;0
196;2021-02-10;['Teslabitcoin', 'hodlings'];0;0;1;0
197;2021-02-10;['btc', 'bitcoin'];0;0;1;0
198;2021-02-10;['dogecoin', 'DOGE', 'dogearmy', 'BTC', 'Bitcoin'];0;0;1;0
199;2021-02-10;['twitter'];0;0;1;0
200;2021-02-10;['BTC', 'Bitcoin'];0;0;0;0
201;2021-02-10;['BTC', 'Bitcoin'];0;0;1;0
202;2021-02-10;['BTC', 'bitcoin'];0;0;1;0
203;2021-02-10;['Bitcoin', 'BTC'];0;0;1;0
204;2021-02-10;['btc', 'bitcoin'];0;0;1;0
205;2021-02-10;['Bitcoin', 'Btc'];0;0;1;0
206;2021-02-10;['mastercard', 'CryptoNews', 'cryptocurrency', 'cryptoart'];0;0;0;0
207;2021-02-10;['Bitcoin', 'BTC', 'ETH'];0;0;0;0
208;2021-02-10;['domain', 'domainnames', 'domainname', 'covid', 'corona', 'coronavirus', 'covid19'];0;0;0;0
209;2021-02-10;['cryptocurrency', 'Binance', 'altseason', 'Bitcoin'];0;0;1;0
210;2021-02-10;['BTC', 'Bitcoin', 'WSB', 'WallStreetBets', 'Coinbase', 'Binance'];0;0;1;0
211;2021-02-10;['crypto'];0;0;1;1
212;2021-02-10;['BTC', 'Coinbase'];0;0;1;0
213;2021-02-10;['Dogecoin', 'Bitcoin'];0;0;1;0
214;2021-02-10;['Bitcoin', 'Breaking', 'BTC', 'BTCUSDTradingView', 'BTCUSDTTradingView', 'CryptoNews'];0;0;1;0
215;2021-02-10;['AIONBTC', 'CryptoParos'];0;0;0;0
216;2021-02-10;['revolution', 'Maiar', 'ADA'];0;0;0;0
217;2021-02-10;['crypto', 'Bitcoin', 'BTC'];0;0;1;0
218;2021-02-10;['Bitcoin', 'BTC', 'Binance', 'BNB'];0;0;1;0
219;2021-02-10;['bitcoinoptions', 'Bitcoin', 'crypto', 'options', 'BTC', 'cme'];0;0;1;1
220;2021-02-10;['Mastercard', 'Payments', 'Crypto', 'Bitcoin', 'BTC', 'Binance', 'DOGE', 'BNB'];0;0;1;0
221;2021-02-10;['Bitcoin'];0;0;1;0
222;2021-02-10;['MASTERCARD', 'CRYPTOCURRENCIES', 'Bitcoin', 'dogecoin', 'Binance', 'BTC', 'DogecoinToTheMoon', 'BNB'];0;0;1;0
223;2021-02-10;['AmazonCoin', 'amazon', 'pay'];0;0;1;0
224;2021-02-10;['btc', 'bitcoin', 'cryptocurrency'];0;0;1;0
225;2021-02-10;['Bitcoin'];0;0;1;0
226;2021-02-10;['creamcoin', 'bitcoin', 'litecoin', 'ethereum', 'blockchain', 'exchange', 'btc', 'cryptocurrency'];0;0;1;1
227;2021-02-10;['DeFi', 'BTC', 'ETH', 'BITCOIN', 'CRYPTO'];0;0;0;0
228;2021-02-10;['domain', 'domainnames', 'domainname', 'covid', 'corona', 'coronavirus', 'covid19'];0;0;0;0
229;2021-02-10;['BTC'];0;0;1;0
